lensDB by rayfor,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
lensName,vender,version,nominalFocalLength,nominalFNumber,efl,bfl,flangeDistance,totalLength,rearLength,filterThread,frontDiameter,rearDiameter,nominalImageCircleFull,nominalAngleOfViewFull,nominalImageCircleMax,nominalAngleOfViewMax
APO-SYMMAR_100_5.6,Schneider Kreuznach,1995_Compur_0,100,5.6,99.8,82.9,95.9,38,14.4,M40.5x0.5,42,34,120,62,145,72
APO-SYMMAR_100_5.6,Schneider Kreuznach,1995_ProntorProf_01S,100,5.6,99.8,82.9,93.4,38,11.9,M40.5x0.5,42,34,120,62,145,72
APO-SYMMAR_100_5.6,Schneider Kreuznach,1995_Copal_0,100,5.6,99.8,82.9,95.5,38,14,M40.5x0.5,42,34,120,62,145,72
APO-SYMMAR_100_5.6,Schneider Kreuznach,1995_BK_0,100,5.6,99.8,82.9,95.9,38,14.4,M40.5x0.5,42,34,120,62,145,72
APO-SYMMAR_120_5.6,Schneider Kreuznach,1995_Compur_0,120,5.6,123.4,102.1,118.3,45,16.6,M49x0.75,51,38,148,62,179,72
APO-SYMMAR_120_5.6,Schneider Kreuznach,1995_ProntorProf_01S,120,5.6,123.4,102.1,115.8,45,14.1,M49x0.75,51,38,148,62,179,72
APO-SYMMAR_120_5.6,Schneider Kreuznach,1995_Copal_0,120,5.6,123.4,102.1,117.9,45,16.2,M49x0.75,51,38,148,62,179,72
APO-SYMMAR_120_5.6,Schneider Kreuznach,1995_BK_0,120,5.6,123.4,102.1,118.3,45,16.6,M49x0.75,51,38,148,62,179,72
APO-SYMMAR_135_5.6,Schneider Kreuznach,1995_Compur_0,135,5.6,134.4,111.1,128.6,46.8,18.5,M49x0.75,51,43,162,62,195,72
APO-SYMMAR_135_5.6,Schneider Kreuznach,1995_ProntorProf_01S,135,5.6,134.4,111.1,126.1,46.8,16,M49x0.75,51,43,162,62,195,72
APO-SYMMAR_135_5.6,Schneider Kreuznach,1995_Copal_0,135,5.6,134.4,111.1,128.2,46.8,18.1,M49x0.75,51,43,162,62,195,72
APO-SYMMAR_135_5.6,Schneider Kreuznach,1995_BK_0,135,5.6,134.4,111.1,128.6,46.8,18.5,M49x0.75,51,43,162,62,195,72
APO-SYMMAR_150_5.6,Schneider Kreuznach,1995_Compur_0,150,5.6,151.5,124.8,144.6,53.7,20.5,M58x0.75,60,46,182,62,220,72
APO-SYMMAR_150_5.6,Schneider Kreuznach,1995_ProntorProf_01S,150,5.6,151.5,124.8,142.1,53.7,18,M58x0.75,60,46,182,62,220,72
APO-SYMMAR_150_5.6,Schneider Kreuznach,1995_Copal_0,150,5.6,151.5,124.8,144.2,53.7,20.1,M58x0.75,60,46,182,62,220,72
APO-SYMMAR_150_5.6,Schneider Kreuznach,1995_BK_0,150,5.6,151.5,124.8,144.6,53.7,20.5,M58x0.75,60,46,182,62,220,72
APO-SYMMAR_180_5.6,Schneider Kreuznach,1995_Compur_1,180,5.6,180.8,149.7,176.5,61.6,27.9,M58x0.75,60,57,217,62,263,72
APO-SYMMAR_180_5.6,Schneider Kreuznach,1995_ProntorProf_1S,180,5.6,180.8,149.7,175.7,61.6,27.1,M58x0.75,60,57,217,62,263,72
APO-SYMMAR_180_5.6,Schneider Kreuznach,1995_Copal_1,180,5.6,180.8,149.7,177.2,61.6,28.6,M58x0.75,60,57,217,62,263,72
APO-SYMMAR_180_5.6,Schneider Kreuznach,1995_BK_1,180,5.6,180.8,149.7,177.1,61.6,28.5,M58x0.75,60,57,217,62,263,72
APO-SYMMAR_210_5.6,Schneider Kreuznach,1995_Compur_1,210,5.6,209.6,170.8,202.4,73.4,33.1,M72x0.75,75,70,252,62,305,72
APO-SYMMAR_210_5.6,Schneider Kreuznach,1995_ProntorProf_1S,210,5.6,209.6,170.8,201.6,73.4,32.3,M72x0.75,75,70,252,62,305,72
APO-SYMMAR_210_5.6,Schneider Kreuznach,1995_Copal_1,210,5.6,209.6,170.8,203.1,73.4,33.8,M72x0.75,75,70,252,62,305,72
APO-SYMMAR_210_5.6,Schneider Kreuznach,1995_BK_1,210,5.6,209.6,170.8,203,73.4,33.7,M72x0.75,75,70,252,62,305,72
APO-SYMMAR_240_5.6,Schneider Kreuznach,1995_Compur_3,240,5.6,242.1,203.1,238.5,79.7,36.6,M77x0.75,80,75,291,62,352,72
APO-SYMMAR_240_5.6,Schneider Kreuznach,1995_ProntorProf_3,240,5.6,242.1,203.1,237.4,79.7,35.5,M77x0.75,80,75,291,62,352,72
APO-SYMMAR_240_5.6,Schneider Kreuznach,1995_Copal_3,240,5.6,242.1,203.1,238.5,79.7,36.6,M77x0.75,80,75,291,62,352,72
APO-SYMMAR_240_5.6,Schneider Kreuznach,1995_BK_3,240,5.6,242.1,203.1,238.5,79.7,36.6,M77x0.75,80,75,291,62,352,72
APO-SYMMAR_300_5.6,Schneider Kreuznach,1995_Compur_3,300,5.6,292.4,246.1,281.4,98.3,37.2,M105x1.0,110,80,351,62,425,72
APO-SYMMAR_300_5.6,Schneider Kreuznach,1995_ProntorProf_3,300,5.6,292.4,246.1,280.3,98.3,36.1,M105x1.0,110,80,351,62,425,72
APO-SYMMAR_300_5.6,Schneider Kreuznach,1995_Copal_3,300,5.6,292.4,246.1,281.4,98.3,37.2,M105x1.0,110,80,351,62,425,72
APO-SYMMAR_300_5.6,Schneider Kreuznach,1995_BK_3,300,5.6,292.4,246.1,281.4,98.3,37.2,M105x1.0,110,80,351,62,425,72
APO-SYMMAR_360_6.8,Schneider Kreuznach,1995_Compur_3,360,6.8,350.4,299,339.9,111,41.8,M112x1.5,115,90,405,60,491,70
APO-SYMMAR_360_6.8,Schneider Kreuznach,1995_ProntorProf_3,360,6.8,350.4,299,338.8,111,40.7,M112x1.5,115,90,405,60,491,70
APO-SYMMAR_360_6.8,Schneider Kreuznach,1995_Copal_3,360,6.8,350.4,299,339.9,111,41.8,M112x1.5,115,90,405,60,491,70
APO-SYMMAR_360_6.8,Schneider Kreuznach,1995_BK_3,360,6.8,350.4,299,339.9,111,41.8,M112x1.5,115,90,405,60,491,70
APO-SYMMAR_480_8.4,Schneider Kreuznach,1995_Copal_3,480,8.4,470.4,400.8,455.2,128.1,54.9,M105x1.0,110,92,370,43,500,56
APO-SYMMAR_480_9.4,Schneider Kreuznach,1995_Compur_3,480,9.4,470.4,400.8,455.2,128.1,54.9,M105x1.0,110,92,370,43,500,56
APO-SYMMAR_480_9.4,Schneider Kreuznach,1995_ProntorProf_3,480,9.4,470.4,400.8,454.1,128.1,53.8,M105x1.0,110,92,370,43,500,56
APO-SYMMAR_480_9.4,Schneider Kreuznach,1995_BK_3,480,9.4,470.4,400.8,455.2,128.1,54.9,M105x1.0,110,92,370,43,500,56
SUPER-ANGULON_XL_47_5.6,Schneider Kreuznach,1995_Compur_0,47,5.6,47.9,29.5,58.9,60.8,30.1,M67x0.75,70,63.5,110,98,166,120
SUPER-ANGULON_XL_47_5.6,Schneider Kreuznach,1995_ProntorProf_01S,47,5.6,47.9,29.5,57,60.8,30.1,M67x0.75,70,63.5,110,98,166,120
SUPER-ANGULON_XL_47_5.6,Schneider Kreuznach,1995_Copal_0,47,5.6,47.9,29.5,59.1,60.8,30.1,M67x0.75,70,63.5,110,98,166,120
SUPER-ANGULON_XL_58_5.6,Schneider Kreuznach,1995_Compur_0,58,5.6,58.1,38.5,69.8,66,31.4,M67x0.75,70,60,129,96,166,110
SUPER-ANGULON_XL_58_5.6,Schneider Kreuznach,1995_ProntorProf_01S,58,5.6,58.1,38.5,67.9,66,28.9,M67x0.75,70,60,129,96,166,110
SUPER-ANGULON_XL_58_5.6,Schneider Kreuznach,1995_Copal_0,58,5.6,58.1,38.5,70.1,66,31,M67x0.75,70,60,129,96,166,110
SUPER-ANGULON_XL_72_5.6,Schneider Kreuznach,1995_Compur_0,72,5.6,71.9,47.3,85.3,81.5,35.6,M95x1,100,75,166,98,226,115
SUPER-ANGULON_XL_72_5.6,Schneider Kreuznach,1995_ProntorProf_01S,72,5.6,71.9,47.3,82.9,81.5,35.6,M95x1,100,75,166,98,226,115
SUPER-ANGULON_XL_72_5.6,Schneider Kreuznach,1995_Copal_0,72,5.6,71.9,47.3,84.9,81.5,35.6,M95x1,100,75,166,98,226,115
SUPER-ANGULON_XL_90_5.6,Schneider Kreuznach,1995_Compur_0,90,5.6,90.7,59.7,103.3,95.9,44,M95x1,100,86,201,96,259,110
SUPER-ANGULON_XL_90_5.6,Schneider Kreuznach,1995_ProntorProf_01S,90,5.6,90.7,59.7,101.4,95.9,41.5,M95x1,100,86,201,96,259,110
SUPER-ANGULON_XL_90_5.6,Schneider Kreuznach,1995_Copal_0,90,5.6,90.7,59.7,103.5,95.9,43.6,M95x1,100,86,201,96,259,110
SUPER-ANGULON_47_5.6,Schneider Kreuznach,1995_Compur_0,47,5.6,47.5,30.8,52.6,54.7,22.3,M52x0.75,54,43,98,92,123,105
SUPER-ANGULON_47_5.6,Schneider Kreuznach,1995_ProntorProf_01S,47,5.6,47.5,30.8,50.1,54.7,19.8,M52x0.75,54,43,98,92,123,105
SUPER-ANGULON_47_5.6,Schneider Kreuznach,1995_Copal_0,47,5.6,47.5,30.8,52.2,54.7,21.9,M52x0.75,54,43,98,92,123,105
SUPER-ANGULON_65_5.6,Schneider Kreuznach,1995_Compur_0,65,5.6,65.3,43.4,72.9,72,30.1,M67x0.75,70,57,135,92,170,105
SUPER-ANGULON_65_5.6,Schneider Kreuznach,1995_ProntorProf_01S,65,5.6,65.3,43.4,72.8,72,30,M67x0.75,70,57,135,92,170,105
SUPER-ANGULON_65_5.6,Schneider Kreuznach,1995_Copal_0,65,5.6,65.3,43.4,72.5,72,29.7,M67x0.75,70,57,135,92,170,105
SUPER-ANGULON_75_5.6,Schneider Kreuznach,1995_Compur_0,75,5.6,75.7,50.7,83.5,78,35,M67x0.75,70,65,156,92,198,105
SUPER-ANGULON_75_5.6,Schneider Kreuznach,1995_ProntorProf_01S,75,5.6,75.7,50.7,83.4,78,34.9,M67x0.75,70,65,156,92,198,105
SUPER-ANGULON_75_5.6,Schneider Kreuznach,1995_Copal_0,75,5.6,75.7,50.7,83.1,78,34.6,M67x0.75,70,65,156,92,198,105
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_Compur_0,90,5.6,90.5,61.2,103.1,93.5,42.5,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_ProntorProf_01S,90,5.6,90.5,61.2,103,93.5,42.4,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_5.6,Schneider Kreuznach,1995_Copal_0,90,5.6,90.5,61.2,102.7,93.5,42.1,M82x0.75,85,77,187,92,235,105
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_Compur_0,90,8,90.4,67,99.2,74.9,32.7,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_ProntorProf_01S,90,8,90.4,67,99.1,74.9,32.6,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_90_8,Schneider Kreuznach,1995_Copal_0,90,8,90.4,67,98.8,74.9,32.3,M67x0.75,70,57,187,92,216,100
SUPER-ANGULON_120_8,Schneider Kreuznach,1995_Compur_0,120,8,121.4,90.2,133.5,96.1,43.7,M82x0.75,85,75,250,92,288,100
SUPER-ANGULON_120_8,Schneider Kreuznach,1995_ProntorProf_01S,120,8,121.4,90.2,133.4,96.1,43.6,M82x0.75,85,75,250,92,288,100
